## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=sample.bam OUTPUT=hs_metrics.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 29 15:36:23 CET 2021

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	7001817651	3649016474	5139736141	0.674506	0.325494	0.657396	3157.630214	0.441645	0.330194	619.043941		0	0	0	0	0	0	2217428	3095693983	115295038	115295038	15853949575	115295038	115279759	15790570266	15790570266	5234880438	1	1	0.999867	2360.789364	2332	53398	0	0.001632	0	0	0.024797	0.027532	0.174716	0.441469	1.366198	0.999711	0.999532	0.998926	0.998579	0.998389	0.99817	0.997993	0.997375	0.994902	0.985223	0.958388	0.40843	0.00831	0.000888	0.000201	0.000004	0	0.998035	4.2714	0.036592	0			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	641	0
1	396	0
2	228	0
3	299	0
4	255	0
5	111	0
6	174	0
7	65	0
8	92	0
9	120	0
10	100	0
11	90	0
12	63	0
13	64	0
14	64	175644016
15	76	0
16	105	0
17	86	0
18	77	0
19	46	0
20	47	0
21	47	33797847
22	38	0
23	38	0
24	35	0
25	32	0
26	35	0
27	41	158422741
28	54	0
29	53	0
30	50	0
31	50	0
32	37	562529789
33	45	0
34	52	0
35	48	0
36	53	4440658080
37	51	0
38	50	0
39	51	0
40	52	0
41	46	0
42	42	0
43	34	0
44	33	0
45	51	0
46	39	0
47	25	0
48	35	0
49	35	0
50	31	0
51	36	0
52	51	0
53	26	0
54	28	0
55	41	0
56	33	0
57	33	0
58	33	0
59	42	0
60	32	0
61	28	0
62	28	0
63	37	0
64	35	0
65	35	0
66	35	0
67	23	0
68	31	0
69	31	0
70	28	0
71	20	0
72	25	0
73	28	0
74	27	0
75	36	0
76	25	0
77	28	0
78	23	0
79	17	0
80	22	0
81	24	0
82	21	0
83	19	0
84	26	0
85	11	0
86	30	0
87	22	0
88	21	0
89	22	0
90	21	0
91	25	0
92	23	0
93	25	0
94	20	0
95	16	0
96	23	0
97	20	0
98	31	0
99	22	0
100	26	0
101	29	0
102	21	0
103	19	0
104	12	0
105	23	0
106	23	0
107	19	0
108	25	0
109	22	0
110	18	0
111	16	0
112	27	0
113	21	0
114	17	0
115	22	0
116	12	0
117	21	0
118	17	0
119	19	0
120	28	0
121	17	0
122	25	0
123	16	0
124	21	0
125	19	0
126	25	0
127	26	0
128	32	0
129	23	0
130	33	0
131	36	0
132	35	0
133	36	0
134	37	0
135	29	0
136	48	0
137	40	0
138	33	0
139	34	0
140	30	0
141	40	0
142	50	0
143	39	0
144	38	0
145	31	0
146	40	0
147	47	0
148	51	0
149	37	0
150	28	0
151	49	0
152	38	0
153	42	0
154	35	0
155	36	0
156	42	0
157	36	0
158	29	0
159	43	0
160	39	0
161	35	0
162	40	0
163	28	0
164	43	0
165	39	0
166	33	0
167	34	0
168	34	0
169	24	0
170	31	0
171	37	0
172	32	0
173	35	0
174	39	0
175	43	0
176	34	0
177	37	0
178	41	0
179	32	0
180	35	0
181	38	0
182	34	0
183	37	0
184	29	0
185	34	0
186	29	0
187	25	0
188	28	0
189	24	0
190	22	0
191	35	0
192	30	0
193	29	0
194	32	0
195	31	0
196	40	0
197	48	0
198	41	0
199	54	0
200	44	0
201	39	0
202	46	0
203	44	0
204	40	0
205	44	0
206	48	0
207	53	0
208	44	0
209	46	0
210	31	0
211	48	0
212	26	0
213	39	0
214	39	0
215	42	0
216	34	0
217	39	0
218	46	0
219	35	0
220	50	0
221	40	0
222	40	0
223	48	0
224	59	0
225	40	0
226	43	0
227	43	0
228	44	0
229	42	0
230	39	0
231	42	0
232	45	0
233	50	0
234	42	0
235	46	0
236	54	0
237	45	0
238	52	0
239	51	0
240	55	0
241	60	0
242	52	0
243	57	0
244	59	0
245	59	0
246	52	0
247	62	0
248	60	0
249	57	0
250	41	0
251	71	0
252	47	0
253	63	0
254	72	0
255	53	0
256	47	0
257	52	0
258	54	0
259	48	0
260	42	0
261	53	0
262	50	0
263	56	0
264	67	0
265	57	0
266	62	0
267	42	0
268	42	0
269	61	0
270	61	0
271	44	0
272	60	0
273	65	0
274	51	0
275	65	0
276	55	0
277	59	0
278	63	0
279	69	0
280	60	0
281	49	0
282	62	0
283	52	0
284	52	0
285	51	0
286	59	0
287	51	0
288	54	0
289	65	0
290	74	0
291	59	0
292	60	0
293	68	0
294	55	0
295	81	0
296	64	0
297	69	0
298	67	0
299	80	0
300	78	0
301	70	0
302	60	0
303	74	0
304	81	0
305	64	0
306	65	0
307	74	0
308	79	0
309	68	0
310	68	0
311	68	0
312	73	0
313	77	0
314	73	0
315	66	0
316	85	0
317	80	0
318	59	0
319	52	0
320	67	0
321	71	0
322	59	0
323	87	0
324	49	0
325	44	0
326	81	0
327	69	0
328	55	0
329	74	0
330	50	0
331	59	0
332	76	0
333	79	0
334	77	0
335	85	0
336	75	0
337	82	0
338	56	0
339	66	0
340	77	0
341	89	0
342	69	0
343	63	0
344	77	0
345	74	0
346	71	0
347	61	0
348	75	0
349	80	0
350	75	0
351	56	0
352	74	0
353	66	0
354	70	0
355	80	0
356	73	0
357	70	0
358	54	0
359	68	0
360	70	0
361	79	0
362	71	0
363	78	0
364	91	0
365	91	0
366	97	0
367	80	0
368	82	0
369	88	0
370	88	0
371	89	0
372	80	0
373	68	0
374	86	0
375	101	0
376	84	0
377	98	0
378	73	0
379	87	0
380	110	0
381	73	0
382	82	0
383	77	0
384	92	0
