## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[{sample}.bam] OUTPUT=marked_duplicates.bam METRICS_FILE=marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 23 11:04:52 CET 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9645	57635057	366248	15279	6926	17749730	0	0.308002	73170265

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	27993698	27993698
2.0	1.454897	8042584	8042584
3.0	1.661828	2560789	2560789
4.0	1.755961	849208	849208
5.0	1.798781	283183	283183
6.0	1.81826	95493	95493
7.0	1.827121	33497	33497
8.0	1.831152	12995	12995
9.0	1.832986	5868	5868
10.0	1.83382	2977	2977
11.0	1.834199	1632	1632
12.0	1.834372	1096	1096
13.0	1.83445	700	700
14.0	1.834486	456	456
15.0	1.834502	339	339
16.0	1.83451	233	233
17.0	1.834513	141	141
18.0	1.834515	112	112
19.0	1.834515	91	91
20.0	1.834516	61	61
21.0	1.834516	36	36
22.0	1.834516	31	31
23.0	1.834516	25	25
24.0	1.834516	24	24
25.0	1.834516	10	10
26.0	1.834516	10	10
27.0	1.834516	9	9
28.0	1.834516	7	7
29.0	1.834516	6	6
30.0	1.834516	4	4
31.0	1.834516	1	1
32.0	1.834516	3	3
33.0	1.834516	0	0
34.0	1.834516	1	1
35.0	1.834516	0	0
36.0	1.834516	2	2
37.0	1.834516	0	0
38.0	1.834516	0	0
39.0	1.834516	1	1
40.0	1.834516	0	0
41.0	1.834516	0	0
42.0	1.834516	0	0
43.0	1.834516	1	1
44.0	1.834516	1	1
45.0	1.834516	0	0
46.0	1.834516	1	1
47.0	1.834516	0	0
48.0	1.834516	0	0
49.0	1.834516	0	0
50.0	1.834516	0	0
51.0	1.834516	0	0
52.0	1.834516	0	0
53.0	1.834516	0	0
54.0	1.834516	0	0
55.0	1.834516	0	0
56.0	1.834516	0	0
57.0	1.834516	0	0
58.0	1.834516	0	0
59.0	1.834516	0	0
60.0	1.834516	0	0
61.0	1.834516	0	0
62.0	1.834516	0	0
63.0	1.834516	0	0
64.0	1.834516	0	0
65.0	1.834516	0	0
66.0	1.834516	0	0
67.0	1.834516	0	0
68.0	1.834516	0	0
69.0	1.834516	0	0
70.0	1.834516	0	0
71.0	1.834516	0	0
72.0	1.834516	0	0
73.0	1.834516	0	0
74.0	1.834516	0	0
75.0	1.834516	0	0
76.0	1.834516	0	0
77.0	1.834516	0	0
78.0	1.834516	0	0
79.0	1.834516	0	0
80.0	1.834516	0	0
81.0	1.834516	0	0
82.0	1.834516	0	0
83.0	1.834516	0	0
84.0	1.834516	0	0
85.0	1.834516	0	0
86.0	1.834516	0	0
87.0	1.834516	0	0
88.0	1.834516	0	0
89.0	1.834516	0	0
90.0	1.834516	0	0
91.0	1.834516	0	0
92.0	1.834516	0	0
93.0	1.834516	0	0
94.0	1.834516	0	0
95.0	1.834516	0	0
96.0	1.834516	0	0
97.0	1.834516	0	0
98.0	1.834516	1	1
99.0	1.834516	0	0
100.0	1.834516	0	0

