## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=right_5.bam OUTPUT=hs_metrics_right_5.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 18 12:17:18 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	7001817651	3649016474	5139736141	0.674506	0.325494	0.657396	3157.630214	0.441645	0.197791	619.043941	40073714	4.589081	4.600805	4.612529	4.624253	4.640667	4.706322	2217428	3095693983	115295038	115295038	15853949575	79788652	79773373	15790570266	10912109216	3135761812	1	0.692039	0.999809	1414.143689	1410	23648	0	0.001713	0.308948	0	0.019982	0.03202	0.11747	0.323017	1.31426	0.999704	0.999503	0.998859	0.998514	0.998227	0.998004	0.997792	0.997058	0.992787	0.975433	0.84871	0.020426	0.000926	0.000259	0	0	0	0.954617	3.420089	0.134078	1			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	657	0
1	444	0
2	285	0
3	365	0
4	145	0
5	158	0
6	83	0
7	107	0
8	150	0
9	135	0
10	80	0
11	69	0
12	97	0
13	95	0
14	89	74343851
15	91	0
16	89	0
17	63	0
18	44	0
19	49	0
20	55	0
21	58	14465165
22	62	0
23	75	0
24	68	0
25	89	0
26	68	0
27	62	73719300
28	52	0
29	48	0
30	45	0
31	52	0
32	65	292104106
33	60	0
34	50	0
35	48	0
36	45	2746466477
37	34	0
38	46	0
39	48	0
40	52	0
41	50	0
42	53	0
43	41	0
44	50	0
45	59	0
46	42	0
47	37	0
48	43	0
49	44	0
50	49	0
51	38	0
52	40	0
53	37	0
54	42	0
55	34	0
56	43	0
57	41	0
58	26	0
59	44	0
60	43	0
61	30	0
62	38	0
63	33	0
64	28	0
65	29	0
66	18	0
67	28	0
68	39	0
69	33	0
70	30	0
71	26	0
72	31	0
73	24	0
74	37	0
75	33	0
76	35	0
77	39	0
78	29	0
79	31	0
80	28	0
81	28	0
82	35	0
83	24	0
84	35	0
85	35	0
86	23	0
87	26	0
88	28	0
89	36	0
90	18	0
91	26	0
92	30	0
93	28	0
94	35	0
95	22	0
96	34	0
97	33	0
98	38	0
99	37	0
100	37	0
101	42	0
102	53	0
103	41	0
104	50	0
105	63	0
106	59	0
107	62	0
108	39	0
109	47	0
110	35	0
111	45	0
112	49	0
113	29	0
114	44	0
115	41	0
116	44	0
117	41	0
118	42	0
119	44	0
120	49	0
121	56	0
122	59	0
123	70	0
124	52	0
125	41	0
126	49	0
127	63	0
128	58	0
129	48	0
130	48	0
131	44	0
132	53	0
133	52	0
134	56	0
135	45	0
136	70	0
137	61	0
138	66	0
139	48	0
140	47	0
141	51	0
142	44	0
143	48	0
144	63	0
145	57	0
146	62	0
147	55	0
148	62	0
149	55	0
150	60	0
151	45	0
152	56	0
153	56	0
154	49	0
155	47	0
156	38	0
157	37	0
158	47	0
159	42	0
160	52	0
161	61	0
162	52	0
163	56	0
164	58	0
165	69	0
166	62	0
167	55	0
168	58	0
169	43	0
170	54	0
171	58	0
172	65	0
173	55	0
174	55	0
175	74	0
176	50	0
177	55	0
178	51	0
179	59	0
180	64	0
181	67	0
182	52	0
183	73	0
184	63	0
185	68	0
186	61	0
187	61	0
188	62	0
189	67	0
190	75	0
191	58	0
192	53	0
193	85	0
194	73	0
195	68	0
196	64	0
197	78	0
198	85	0
199	81	0
200	63	0
201	66	0
202	55	0
203	66	0
204	63	0
205	68	0
206	56	0
207	56	0
208	67	0
209	74	0
210	68	0
211	79	0
212	90	0
213	68	0
214	92	0
215	64	0
216	73	0
217	72	0
218	76	0
219	86	0
220	74	0
221	74	0
222	70	0
223	81	0
224	84	0
225	90	0
226	83	0
227	95	0
228	77	0
229	82	0
230	100	0
231	89	0
232	89	0
233	68	0
234	91	0
235	86	0
236	82	0
237	72	0
238	82	0
239	74	0
240	86	0
241	88	0
242	94	0
243	77	0
244	98	0
245	86	0
246	95	0
247	100	0
248	100	0
249	87	0
250	95	0
251	86	0
252	107	0
253	109	0
254	87	0
255	92	0
256	102	0
257	100	0
258	94	0
259	90	0
260	87	0
261	80	0
262	90	0
263	87	0
264	82	0
265	83	0
266	93	0
267	86	0
268	97	0
269	91	0
270	89	0
271	96	0
272	114	0
273	102	0
274	91	0
275	93	0
276	69	0
277	112	0
278	83	0
279	90	0
280	98	0
281	107	0
282	96	0
283	110	0
284	95	0
285	99	0
286	82	0
287	107	0
288	100	0
289	98	0
290	101	0
291	103	0
292	108	0
293	112	0
294	117	0
295	111	0
296	102	0
297	136	0
298	115	0
299	113	0
300	132	0
301	125	0
302	120	0
303	111	0
304	111	0
305	144	0
306	128	0
307	129	0
308	116	0
309	138	0
310	129	0
311	130	0
312	142	0
313	150	0
314	146	0
315	136	0
316	142	0
317	130	0
318	136	0
319	139	0
320	122	0
321	140	0
322	147	0
323	150	0
324	142	0
325	134	0
326	173	0
327	140	0
328	135	0
