## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[both_5.bam] OUTPUT=marked_duplicates_both_5.bam METRICS_FILE=marked_dup_metrics_both_5.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 01 18:35:10 CET 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	10293	57198087	285342	22729	7389	17548081	0	0.306832	72975964

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	27876196	27876196
2.0	1.45667	7973715	7973715
3.0	1.665218	2532201	2532201
4.0	1.760456	836946	836946
5.0	1.803948	278517	278517
6.0	1.823809	93465	93465
7.0	1.83288	32855	32855
8.0	1.837022	12604	12604
9.0	1.838913	5727	5727
10.0	1.839777	2859	2859
11.0	1.840172	1607	1607
12.0	1.840352	1066	1066
13.0	1.840434	675	675
14.0	1.840472	450	450
15.0	1.840489	308	308
16.0	1.840497	222	222
17.0	1.8405	151	151
18.0	1.840502	113	113
19.0	1.840503	92	92
20.0	1.840503	53	53
21.0	1.840503	34	34
22.0	1.840503	37	37
23.0	1.840503	25	25
24.0	1.840503	27	27
25.0	1.840503	11	11
26.0	1.840503	9	9
27.0	1.840503	9	9
28.0	1.840503	7	7
29.0	1.840503	7	7
30.0	1.840503	4	4
31.0	1.840503	2	2
32.0	1.840503	3	3
33.0	1.840503	1	1
34.0	1.840503	0	0
35.0	1.840503	0	0
36.0	1.840503	1	1
37.0	1.840503	0	0
38.0	1.840503	0	0
39.0	1.840503	2	2
40.0	1.840503	0	0
41.0	1.840503	0	0
42.0	1.840503	0	0
43.0	1.840503	2	2
44.0	1.840503	0	0
45.0	1.840503	1	1
46.0	1.840503	0	0
47.0	1.840503	0	0
48.0	1.840503	0	0
49.0	1.840503	0	0
50.0	1.840503	0	0
51.0	1.840503	0	0
52.0	1.840503	0	0
53.0	1.840503	0	0
54.0	1.840503	1	1
55.0	1.840503	0	0
56.0	1.840503	0	0
57.0	1.840503	0	0
58.0	1.840503	0	0
59.0	1.840503	0	0
60.0	1.840503	0	0
61.0	1.840503	0	0
62.0	1.840503	0	0
63.0	1.840503	0	0
64.0	1.840503	0	0
65.0	1.840503	0	0
66.0	1.840503	0	0
67.0	1.840503	0	0
68.0	1.840503	0	0
69.0	1.840503	0	0
70.0	1.840503	0	0
71.0	1.840503	0	0
72.0	1.840503	0	0
73.0	1.840503	0	0
74.0	1.840503	0	0
75.0	1.840503	0	0
76.0	1.840503	0	0
77.0	1.840503	0	0
78.0	1.840503	0	0
79.0	1.840503	0	0
80.0	1.840503	0	0
81.0	1.840503	0	0
82.0	1.840503	0	0
83.0	1.840503	0	0
84.0	1.840503	0	0
85.0	1.840503	0	0
86.0	1.840503	0	0
87.0	1.840503	0	0
88.0	1.840503	0	0
89.0	1.840503	0	0
90.0	1.840503	0	0
91.0	1.840503	0	0
92.0	1.840503	0	0
93.0	1.840503	0	0
94.0	1.840503	0	0
95.0	1.840503	0	0
96.0	1.840503	0	0
97.0	1.840503	0	0
98.0	1.840503	0	0
99.0	1.840503	0	0
100.0	1.840503	0	0
112.0	0	1	1

