## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[front_5.bam] OUTPUT=marked_duplicates_front_5.bam METRICS_FILE=marked_dup_metrics_front_5.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 31 13:29:42 CET 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9854	57388763	318942	19726	7079	17625893	0	0.307167	73115174

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	27943262	27943262
2.0	1.456161	8000710	8000710
3.0	1.664244	2542970	2542970
4.0	1.759164	841912	841912
5.0	1.802462	280245	280245
6.0	1.822213	94338	94338
7.0	1.831223	33100	33100
8.0	1.835333	12738	12738
9.0	1.837208	5779	5779
10.0	1.838063	2892	2892
11.0	1.838453	1600	1600
12.0	1.838631	1070	1070
13.0	1.838712	687	687
14.0	1.838749	458	458
15.0	1.838766	302	302
16.0	1.838774	222	222
17.0	1.838777	153	153
18.0	1.838779	107	107
19.0	1.838779	84	84
20.0	1.83878	60	60
21.0	1.83878	31	31
22.0	1.83878	37	37
23.0	1.83878	26	26
24.0	1.83878	26	26
25.0	1.83878	13	13
26.0	1.83878	10	10
27.0	1.83878	7	7
28.0	1.83878	6	6
29.0	1.83878	8	8
30.0	1.83878	3	3
31.0	1.83878	2	2
32.0	1.83878	4	4
33.0	1.83878	0	0
34.0	1.83878	0	0
35.0	1.83878	0	0
36.0	1.83878	1	1
37.0	1.83878	0	0
38.0	1.83878	0	0
39.0	1.83878	2	2
40.0	1.83878	0	0
41.0	1.83878	0	0
42.0	1.83878	0	0
43.0	1.83878	2	2
44.0	1.83878	0	0
45.0	1.83878	1	1
46.0	1.83878	0	0
47.0	1.83878	0	0
48.0	1.83878	0	0
49.0	1.83878	0	0
50.0	1.83878	0	0
51.0	1.83878	0	0
52.0	1.83878	0	0
53.0	1.83878	0	0
54.0	1.83878	1	1
55.0	1.83878	0	0
56.0	1.83878	0	0
57.0	1.83878	0	0
58.0	1.83878	0	0
59.0	1.83878	0	0
60.0	1.83878	0	0
61.0	1.83878	0	0
62.0	1.83878	0	0
63.0	1.83878	0	0
64.0	1.83878	0	0
65.0	1.83878	0	0
66.0	1.83878	0	0
67.0	1.83878	0	0
68.0	1.83878	0	0
69.0	1.83878	0	0
70.0	1.83878	0	0
71.0	1.83878	0	0
72.0	1.83878	0	0
73.0	1.83878	0	0
74.0	1.83878	0	0
75.0	1.83878	0	0
76.0	1.83878	0	0
77.0	1.83878	0	0
78.0	1.83878	0	0
79.0	1.83878	0	0
80.0	1.83878	0	0
81.0	1.83878	0	0
82.0	1.83878	0	0
83.0	1.83878	0	0
84.0	1.83878	0	0
85.0	1.83878	0	0
86.0	1.83878	0	0
87.0	1.83878	0	0
88.0	1.83878	0	0
89.0	1.83878	0	0
90.0	1.83878	0	0
91.0	1.83878	0	0
92.0	1.83878	0	0
93.0	1.83878	0	0
94.0	1.83878	0	0
95.0	1.83878	0	0
96.0	1.83878	0	0
97.0	1.83878	0	0
98.0	1.83878	0	0
99.0	1.83878	0	0
100.0	1.83878	0	0
107.0	0	1	1

