## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=marked_duplicates_tail_5.bam OUTPUT=hs_metrics_tail_5.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 01 09:12:39 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	6720240511	3508675152	4937424818	0.674449	0.325551	0.656985	3030.646547	0.441453	0.208891	618.603696	39987502	4.339998	4.351256	4.366268	4.379403	4.391787	4.454835	2217428	3095693983	114876308	114876308	15222991955	79539605	79522623	15166340481	10485073496	3179942792	1	0.692393	0.999786	1434.068115	1431	24498	0	0.001713	0.308662	0	0.02032	0.015114	0.10746	0.338792	1.313249	0.999703	0.99951	0.99885	0.998509	0.998219	0.997993	0.997779	0.99705	0.992798	0.975611	0.856434	0.021663	0.000938	0.000267	0	0	0	0.965883	3.371289	0.127538	1			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	659	0
1	427	0
2	272	0
3	369	0
4	169	0
5	159	0
6	84	0
7	112	0
8	170	0
9	128	0
10	87	0
11	74	0
12	97	0
13	94	0
14	88	73013852
15	102	0
16	80	0
17	49	0
18	49	0
19	38	0
20	46	0
21	48	14472641
22	57	0
23	76	0
24	62	0
25	97	0
26	76	0
27	71	74209231
28	48	0
29	62	0
30	53	0
31	57	0
32	67	295954684
33	47	0
34	48	0
35	45	0
36	51	2786045639
37	41	0
38	51	0
39	41	0
40	40	0
41	42	0
42	50	0
43	41	0
44	46	0
45	52	0
46	46	0
47	45	0
48	57	0
49	54	0
50	34	0
51	29	0
52	40	0
53	41	0
54	52	0
55	26	0
56	40	0
57	36	0
58	35	0
59	39	0
60	44	0
61	22	0
62	37	0
63	20	0
64	28	0
65	29	0
66	29	0
67	27	0
68	35	0
69	40	0
70	30	0
71	25	0
72	27	0
73	20	0
74	34	0
75	37	0
76	27	0
77	36	0
78	15	0
79	29	0
80	33	0
81	30	0
82	37	0
83	37	0
84	40	0
85	24	0
86	20	0
87	28	0
88	27	0
89	28	0
90	23	0
91	33	0
92	32	0
93	38	0
94	37	0
95	36	0
96	40	0
97	34	0
98	49	0
99	28	0
100	42	0
101	41	0
102	47	0
103	46	0
104	51	0
105	60	0
106	50	0
107	42	0
108	39	0
109	48	0
110	42	0
111	50	0
112	40	0
113	41	0
114	42	0
115	35	0
116	45	0
117	57	0
118	43	0
119	47	0
120	51	0
121	39	0
122	51	0
123	56	0
124	63	0
125	48	0
126	59	0
127	67	0
128	44	0
129	52	0
130	53	0
131	55	0
132	54	0
133	50	0
134	56	0
135	50	0
136	59	0
137	49	0
138	45	0
139	45	0
140	50	0
141	48	0
142	45	0
143	40	0
144	48	0
145	70	0
146	62	0
147	43	0
148	53	0
149	49	0
150	58	0
151	47	0
152	52	0
153	58	0
154	63	0
155	50	0
156	51	0
157	46	0
158	54	0
159	60	0
160	54	0
161	61	0
162	72	0
163	54	0
164	61	0
165	72	0
166	60	0
167	43	0
168	59	0
169	43	0
170	51	0
171	54	0
172	59	0
173	58	0
174	71	0
175	62	0
176	41	0
177	56	0
178	59	0
179	58	0
180	64	0
181	65	0
182	60	0
183	60	0
184	56	0
185	62	0
186	62	0
187	57	0
188	74	0
189	77	0
190	66	0
191	60	0
192	53	0
193	72	0
194	71	0
195	69	0
196	81	0
197	60	0
198	78	0
199	63	0
200	61	0
201	59	0
202	70	0
203	73	0
204	81	0
205	75	0
206	62	0
207	71	0
208	74	0
209	66	0
210	78	0
211	63	0
212	55	0
213	65	0
214	81	0
215	81	0
216	82	0
217	73	0
218	81	0
219	86	0
220	74	0
221	79	0
222	84	0
223	74	0
224	86	0
225	79	0
226	82	0
227	88	0
228	101	0
229	96	0
230	80	0
231	80	0
232	95	0
233	80	0
234	78	0
235	76	0
236	92	0
237	89	0
238	101	0
239	90	0
240	98	0
241	68	0
242	90	0
243	80	0
244	83	0
245	83	0
246	72	0
247	73	0
248	93	0
249	88	0
250	72	0
251	89	0
252	90	0
253	101	0
254	102	0
255	88	0
256	108	0
257	88	0
258	113	0
259	89	0
260	91	0
261	87	0
262	86	0
263	93	0
264	85	0
265	94	0
266	73	0
267	78	0
268	84	0
269	93	0
270	85	0
271	104	0
272	91	0
273	82	0
274	87	0
275	103	0
276	95	0
277	106	0
278	88	0
279	74	0
280	96	0
281	81	0
282	120	0
283	103	0
284	85	0
285	107	0
286	92	0
287	96	0
288	110	0
289	92	0
290	91	0
291	100	0
292	119	0
293	105	0
294	121	0
295	89	0
296	105	0
297	103	0
298	111	0
299	97	0
300	99	0
301	112	0
302	156	0
303	117	0
304	128	0
305	138	0
306	96	0
307	122	0
308	142	0
309	121	0
310	126	0
311	128	0
312	141	0
313	147	0
314	130	0
315	104	0
316	149	0
317	133	0
318	138	0
319	135	0
320	136	0
321	141	0
322	139	0
323	129	0
324	146	0
325	149	0
326	162	0
327	132	0
328	150	0
329	130	0
330	153	0
331	136	0
332	151	0
333	155	0
334	158	0
335	169	0
336	157	0
337	147	0
338	161	0
