## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[tail_5b.bam] OUTPUT=marked_duplicates_tail_5.bam METRICS_FILE=marked_dup_metrics_tail_5.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 01 08:37:13 CET 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	10070	57424628	324848	16982	7223	17664740	0	0.307652	73011300

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	27918431	27918431
2.0	1.455428	8013197	8013197
3.0	1.662843	2548601	2548601
4.0	1.757306	844017	844017
5.0	1.800327	281064	281064
6.0	1.81992	94674	94674
7.0	1.828843	33200	33200
8.0	1.832907	12895	12895
9.0	1.834758	5826	5826
10.0	1.835601	2947	2947
11.0	1.835984	1655	1655
12.0	1.836159	1077	1077
13.0	1.836239	694	694
14.0	1.836275	454	454
15.0	1.836292	337	337
16.0	1.836299	230	230
17.0	1.836303	150	150
18.0	1.836304	113	113
19.0	1.836305	89	89
20.0	1.836305	61	61
21.0	1.836305	39	39
22.0	1.836305	34	34
23.0	1.836305	22	22
24.0	1.836305	22	22
25.0	1.836305	12	12
26.0	1.836305	10	10
27.0	1.836305	8	8
28.0	1.836305	8	8
29.0	1.836305	5	5
30.0	1.836305	4	4
31.0	1.836305	1	1
32.0	1.836305	3	3
33.0	1.836305	0	0
34.0	1.836305	1	1
35.0	1.836305	0	0
36.0	1.836305	2	2
37.0	1.836305	0	0
38.0	1.836305	0	0
39.0	1.836305	1	1
40.0	1.836305	0	0
41.0	1.836305	0	0
42.0	1.836305	0	0
43.0	1.836305	1	1
44.0	1.836305	1	1
45.0	1.836305	1	1
46.0	1.836305	0	0
47.0	1.836305	0	0
48.0	1.836305	0	0
49.0	1.836305	0	0
50.0	1.836305	0	0
51.0	1.836305	0	0
52.0	1.836305	0	0
53.0	1.836305	0	0
54.0	1.836305	0	0
55.0	1.836305	0	0
56.0	1.836305	0	0
57.0	1.836305	0	0
58.0	1.836305	0	0
59.0	1.836305	0	0
60.0	1.836305	0	0
61.0	1.836305	0	0
62.0	1.836305	0	0
63.0	1.836305	0	0
64.0	1.836305	0	0
65.0	1.836305	0	0
66.0	1.836305	0	0
67.0	1.836305	0	0
68.0	1.836305	0	0
69.0	1.836305	0	0
70.0	1.836305	0	0
71.0	1.836305	0	0
72.0	1.836305	0	0
73.0	1.836305	0	0
74.0	1.836305	0	0
75.0	1.836305	0	0
76.0	1.836305	0	0
77.0	1.836305	0	0
78.0	1.836305	0	0
79.0	1.836305	0	0
80.0	1.836305	0	0
81.0	1.836305	0	0
82.0	1.836305	0	0
83.0	1.836305	0	0
84.0	1.836305	0	0
85.0	1.836305	0	0
86.0	1.836305	0	0
87.0	1.836305	0	0
88.0	1.836305	0	0
89.0	1.836305	0	0
90.0	1.836305	0	0
91.0	1.836305	0	0
92.0	1.836305	0	0
93.0	1.836305	0	0
94.0	1.836305	0	0
95.0	1.836305	0	0
96.0	1.836305	0	0
97.0	1.836305	1	1
98.0	1.836305	0	0
99.0	1.836305	0	0
100.0	1.836305	0	0

