## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=marked_duplicates_tail_5_filteredout_5.bam OUTPUT=hs_metrics_tail_5_filteredout_5.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 04 22:50:13 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	121717575	90645906	300518294	0.414059	0.585941	0.573157	54.891331	0.231144	0.096824	331.31761	670073	-1	-1	-1	-1	-1	-1	2217428	3095693983	3855428	3855428	526586540	2607131	2605763	512881775	348049640	50986172	1	0.676223	0.999475	22.993383	5	21765	0	0.051073	0.321384	0	0.025806	0.056513	0.075811	0.421158	7.664461	0.973046	0.909869	0.276556	0.170999	0.130223	0.104148	0.085749	0.043553	0.012418	0.004433	0.001104	0.000302	0.000124	0.00007	0	0	0	9.660436	10.542124	0.798424	7			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	59768	0
1	140090	0
2	221905	0
3	263065	0
4	254612	0
5	215718	0
6	169165	0
7	124475	0
8	90635	0
9	64752	0
10	47398	0
11	36010	0
12	28828	0
13	23859	0
14	20795	6223931
15	18555	0
16	16785	0
17	15016	0
18	13870	0
19	12948	0
20	11838	0
21	11218	700812
22	10132	0
23	9829	0
24	8952	0
25	8588	0
26	7968	0
27	7740	2488630
28	7235	0
29	6919	0
30	6734	0
31	6376	0
32	6372	6228734
33	6104	0
34	5939	0
35	5688	0
36	5603	39642937
37	5310	0
38	5031	0
39	4662	0
40	4660	0
41	4463	0
42	4334	0
43	4221	0
44	4165	0
45	3995	0
46	3851	0
47	3685	0
48	3645	0
49	3780	0
50	3505	0
51	3441	0
52	3269	0
53	3216	0
54	3088	0
55	2982	0
56	2808	0
57	2708	0
58	2573	0
59	2450	0
60	2327	0
61	2256	0
62	2253	0
63	2195	0
64	2183	0
65	2090	0
66	2000	0
67	1997	0
68	1949	0
69	1964	0
70	1876	0
71	1835	0
72	1756	0
73	1760	0
74	1645	0
75	1729	0
76	1650	0
77	1581	0
78	1621	0
79	1586	0
80	1640	0
81	1570	0
82	1505	0
83	1539	0
84	1370	0
85	1325	0
86	1371	0
87	1329	0
88	1327	0
89	1315	0
90	1178	0
91	1187	0
92	1174	0
93	1124	0
94	1072	0
95	1088	0
96	1058	0
97	1036	0
98	1036	0
99	1029	0
100	1068	0
101	1007	0
102	1073	0
103	995	0
104	1025	0
105	1003	0
106	1051	0
107	913	0
108	958	0
109	1005	0
110	981	0
111	903	0
112	996	0
113	883	0
114	931	0
115	834	0
116	796	0
117	754	0
118	765	0
119	801	0
120	756	0
121	713	0
122	730	0
123	691	0
124	687	0
125	730	0
126	661	0
127	665	0
128	676	0
129	639	0
130	651	0
131	674	0
132	607	0
133	659	0
134	613	0
135	609	0
136	620	0
137	627	0
138	614	0
139	574	0
140	608	0
141	568	0
142	563	0
143	555	0
144	557	0
145	583	0
146	542	0
147	517	0
148	562	0
149	541	0
150	519	0
151	538	0
152	541	0
153	558	0
154	525	0
155	517	0
156	502	0
157	460	0
158	501	0
159	489	0
160	498	0
161	547	0
162	521	0
163	480	0
164	526	0
165	449	0
166	476	0
167	420	0
168	423	0
169	379	0
170	425	0
171	392	0
172	420	0
173	409	0
174	370	0
175	382	0
176	345	0
177	376	0
178	373	0
179	323	0
180	340	0
181	345	0
182	361	0
183	326	0
184	322	0
185	358	0
186	359	0
187	327	0
188	350	0
189	333	0
190	297	0
191	301	0
192	320	0
193	316	0
194	290	0
195	299	0
196	325	0
197	303	0
198	286	0
199	315	0
200	297	0
201	315	0
202	268	0
203	283	0
204	261	0
205	304	0
206	253	0
207	240	0
208	249	0
209	275	0
210	225	0
211	264	0
212	262	0
213	248	0
214	247	0
215	224	0
216	269	0
217	242	0
218	237	0
219	241	0
220	227	0
221	243	0
222	241	0
223	258	0
224	256	0
225	238	0
226	273	0
227	215	0
228	215	0
229	243	0
230	206	0
231	212	0
232	208	0
233	214	0
234	203	0
235	189	0
236	188	0
237	196	0
238	171	0
239	195	0
240	201	0
241	196	0
242	169	0
243	166	0
244	198	0
245	175	0
246	154	0
247	164	0
248	178	0
249	153	0
250	157	0
251	162	0
252	156	0
253	139	0
254	163	0
255	157	0
256	140	0
257	167	0
258	185	0
259	169	0
260	179	0
261	159	0
262	153	0
263	161	0
264	152	0
265	141	0
266	157	0
267	153	0
268	159	0
269	123	0
270	142	0
271	131	0
272	141	0
273	163	0
274	133	0
275	137	0
276	121	0
277	139	0
278	133	0
279	133	0
280	126	0
281	148	0
282	140	0
283	118	0
284	129	0
285	138	0
286	125	0
287	119	0
288	136	0
289	110	0
290	123	0
291	121	0
292	101	0
293	107	0
294	111	0
295	119	0
296	76	0
297	107	0
298	108	0
299	113	0
300	103	0
301	87	0
302	107	0
303	94	0
304	84	0
305	103	0
306	82	0
307	94	0
308	96	0
309	102	0
310	108	0
311	112	0
312	101	0
313	109	0
314	122	0
315	75	0
316	92	0
317	108	0
318	86	0
319	83	0
320	81	0
321	88	0
322	81	0
323	97	0
324	80	0
325	89	0
326	87	0
327	82	0
328	83	0
329	101	0
330	74	0
331	104	0
332	71	0
333	76	0
334	99	0
335	82	0
336	57	0
337	71	0
338	85	0
339	80	0
340	72	0
341	75	0
342	67	0
343	78	0
344	68	0
345	81	0
346	61	0
347	51	0
348	65	0
349	65	0
350	61	0
351	74	0
352	70	0
353	79	0
354	57	0
355	84	0
356	72	0
357	55	0
358	72	0
359	60	0
360	67	0
361	58	0
362	61	0
363	59	0
364	56	0
365	64	0
366	58	0
367	61	0
368	42	0
369	57	0
370	54	0
371	57	0
372	47	0
373	43	0
374	67	0
375	53	0
376	53	0
377	45	0
378	61	0
379	44	0
380	64	0
381	56	0
382	38	0
383	43	0
384	42	0
385	51	0
386	48	0
387	62	0
388	44	0
389	44	0
390	54	0
391	46	0
392	58	0
393	52	0
394	40	0
395	53	0
396	55	0
397	50	0
398	49	0
399	56	0
400	46	0
401	60	0
402	53	0
403	55	0
404	56	0
405	53	0
406	51	0
407	37	0
408	47	0
409	56	0
410	57	0
411	44	0
412	47	0
413	38	0
414	38	0
415	39	0
416	38	0
417	32	0
418	40	0
419	36	0
420	38	0
421	45	0
422	47	0
423	35	0
424	28	0
425	58	0
426	60	0
427	43	0
428	45	0
429	46	0
430	42	0
431	55	0
432	45	0
433	45	0
434	32	0
435	42	0
436	55	0
437	40	0
438	43	0
439	42	0
440	36	0
441	37	0
442	43	0
443	37	0
444	33	0
445	39	0
446	41	0
447	36	0
448	36	0
449	35	0
450	50	0
451	27	0
452	29	0
453	35	0
454	36	0
455	29	0
456	30	0
457	30	0
458	41	0
459	33	0
460	27	0
461	40	0
462	27	0
463	39	0
464	26	0
465	32	0
466	38	0
467	37	0
468	28	0
469	20	0
470	31	0
471	34	0
472	37	0
473	36	0
474	34	0
475	30	0
476	35	0
477	36	0
478	36	0
479	27	0
480	32	0
481	20	0
482	25	0
483	32	0
484	28	0
485	18	0
486	12	0
487	31	0
488	27	0
489	26	0
490	37	0
491	32	0
492	33	0
493	35	0
494	29	0
495	23	0
496	29	0
497	28	0
498	27	0
499	36	0
500	26	0
501	32	0
502	31	0
503	34	0
504	29	0
505	32	0
506	38	0
507	24	0
508	35	0
509	25	0
510	27	0
511	36	0
512	26	0
513	21	0
514	30	0
515	28	0
516	30	0
517	25	0
518	25	0
519	18	0
520	28	0
521	25	0
522	18	0
523	36	0
524	18	0
525	22	0
526	24	0
527	20	0
528	26	0
529	28	0
530	31	0
531	19	0
532	20	0
533	28	0
534	25	0
535	23	0
536	25	0
537	32	0
538	26	0
539	25	0
540	31	0
541	24	0
542	36	0
543	23	0
544	23	0
545	36	0
546	17	0
547	13	0
548	26	0
549	25	0
550	21	0
551	29	0
552	25	0
553	26	0
554	29	0
555	20	0
556	24	0
557	23	0
558	29	0
559	21	0
560	22	0
561	26	0
562	29	0
563	27	0
564	32	0
565	23	0
566	22	0
567	24	0
568	17	0
569	28	0
570	21	0
571	15	0
572	21	0
573	18	0
574	23	0
575	26	0
576	28	0
577	22	0
578	26	0
579	24	0
580	27	0
581	20	0
582	22	0
583	24	0
584	18	0
585	29	0
586	27	0
587	28	0
588	25	0
589	18	0
590	20	0
591	18	0
592	22	0
593	22	0
594	27	0
595	22	0
596	22	0
597	21	0
598	26	0
599	29	0
600	21	0
601	28	0
602	26	0
603	17	0
604	22	0
605	19	0
606	21	0
607	27	0
608	28	0
609	34	0
610	24	0
611	19	0
612	23	0
613	22	0
614	27	0
615	22	0
616	32	0
617	30	0
618	23	0
619	29	0
620	27	0
621	16	0
622	30	0
623	31	0
624	29	0
625	21	0
626	26	0
627	26	0
628	22	0
629	19	0
630	18	0
631	18	0
632	16	0
633	11	0
634	18	0
635	24	0
636	33	0
637	20	0
638	21	0
639	22	0
640	14	0
641	13	0
642	9	0
643	15	0
644	18	0
645	15	0
646	18	0
647	15	0
648	22	0
649	24	0
650	21	0
651	12	0
652	15	0
653	17	0
654	16	0
655	11	0
656	14	0
657	13	0
658	21	0
659	13	0
660	12	0
661	22	0
662	7	0
663	12	0
664	15	0
665	15	0
666	18	0
667	20	0
668	23	0
669	20	0
670	14	0
671	19	0
672	14	0
673	13	0
674	17	0
675	23	0
676	21	0
677	12	0
678	20	0
679	15	0
680	19	0
681	16	0
682	15	0
683	14	0
684	17	0
685	19	0
686	17	0
687	20	0
688	16	0
689	18	0
690	13	0
691	12	0
692	14	0
693	10	0
694	19	0
695	23	0
696	19	0
697	19	0
698	22	0
699	16	0
700	11	0
701	18	0
702	16	0
703	13	0
704	13	0
705	14	0
706	11	0
707	11	0
708	12	0
709	12	0
710	21	0
711	10	0
712	11	0
713	9	0
714	11	0
715	11	0
716	6	0
717	15	0
718	9	0
719	8	0
720	13	0
721	18	0
722	8	0
723	9	0
724	14	0
725	10	0
726	8	0
727	13	0
728	21	0
729	17	0
730	8	0
731	11	0
732	13	0
733	9	0
734	6	0
735	10	0
736	9	0
737	7	0
738	8	0
739	14	0
740	13	0
741	10	0
742	12	0
743	14	0
744	18	0
745	8	0
746	14	0
747	11	0
748	12	0
749	10	0
750	10	0
751	12	0
752	12	0
753	20	0
754	11	0
755	10	0
756	10	0
757	15	0
758	9	0
759	9	0
760	12	0
761	14	0
762	13	0
763	12	0
764	14	0
765	15	0
766	16	0
767	16	0
768	13	0
769	9	0
770	16	0
771	10	0
772	9	0
773	12	0
774	13	0
775	9	0
776	12	0
777	17	0
778	9	0
779	11	0
780	7	0
781	13	0
782	15	0
783	7	0
784	24	0
785	12	0
786	11	0
787	12	0
788	11	0
789	15	0
790	16	0
791	12	0
792	23	0
793	15	0
794	18	0
795	19	0
796	15	0
797	13	0
798	24	0
799	17	0
800	18	0
801	13	0
802	16	0
803	11	0
804	24	0
805	20	0
806	12	0
807	13	0
808	12	0
809	7	0
810	4	0
811	13	0
812	7	0
813	17	0
814	9	0
815	9	0
816	10	0
817	11	0
818	13	0
819	8	0
820	11	0
821	6	0
822	8	0
823	10	0
824	10	0
825	7	0
826	21	0
827	8	0
828	10	0
829	7	0
830	11	0
831	14	0
832	5	0
833	9	0
834	18	0
835	12	0
836	9	0
837	8	0
838	9	0
839	14	0
840	9	0
841	13	0
842	16	0
843	10	0
844	10	0
845	10	0
846	16	0
847	13	0
848	9	0
849	11	0
850	16	0
851	11	0
852	9	0
853	9	0
854	10	0
855	8	0
856	16	0
857	7	0
858	10	0
859	11	0
860	8	0
861	5	0
862	9	0
863	12	0
864	7	0
865	7	0
866	8	0
867	6	0
868	7	0
869	9	0
870	8	0
871	12	0
872	10	0
873	4	0
874	5	0
875	8	0
876	7	0
877	7	0
878	10	0
879	7	0
880	15	0
881	8	0
882	6	0
883	12	0
884	7	0
885	9	0
886	10	0
887	8	0
888	14	0
889	11	0
890	8	0
891	12	0
892	5	0
893	9	0
894	11	0
895	5	0
896	5	0
897	7	0
898	9	0
899	5	0
900	11	0
901	8	0
902	5	0
903	4	0
904	4	0
905	9	0
906	9	0
907	6	0
908	8	0
909	12	0
910	11	0
911	13	0
912	6	0
913	7	0
914	9	0
915	12	0
916	6	0
917	6	0
918	6	0
919	9	0
920	5	0
921	6	0
922	11	0
923	6	0
924	10	0
925	8	0
926	9	0
927	8	0
928	8	0
929	11	0
