## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=marked_duplicates_tail_5_filteredout_8.bam OUTPUT=hs_metrics_tail_5_filteredout_8.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 04 15:48:10 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	50007783	38975838	162814140	0.353393	0.646607	0.561989	22.552156	0.192445	0.082394	277.264478	285742	-1	-1	-1	-1	-1	-1	2217428	3095693983	1896360	1896360	259854590	1240131	1239419	251797761	165363858	21410539	1	0.653953	0.999426	9.655573	1	19850	0	0.20935	0.343267	0	0.033207	0.050843	0.072776	0.414989	?	0.757489	0.495593	0.114332	0.067689	0.04722	0.035836	0.028643	0.014351	0.004761	0.001801	0.000568	0.000174	0.000085	0.000069	0	0	0	13.741867	13.324341	0.438582	3			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	537751	0
1	580735	0
2	381332	0
3	198638	0
4	101069	0
5	57620	0
6	37516	0
7	27799	0
8	22305	0
9	19141	0
10	16467	0
11	14320	0
12	12398	0
13	11677	0
14	10146	2404049
15	8984	0
16	8372	0
17	7558	0
18	6971	0
19	6534	0
20	6215	0
21	5465	256562
22	5177	0
23	4895	0
24	4437	0
25	4152	0
26	3922	0
27	3806	938197
28	3811	0
29	3508	0
30	3320	0
31	3188	0
32	2788	2416655
33	2574	0
34	2395	0
35	2368	0
36	2198	16141929
37	2174	0
38	2174	0
39	2065	0
40	1931	0
41	1831	0
42	1818	0
43	1718	0
44	1627	0
45	1605	0
46	1500	0
47	1415	0
48	1295	0
49	1209	0
50	1164	0
51	1119	0
52	1059	0
53	1070	0
54	1055	0
55	978	0
56	929	0
57	877	0
58	922	0
59	841	0
60	797	0
61	829	0
62	815	0
63	732	0
64	703	0
65	724	0
66	725	0
67	657	0
68	652	0
69	689	0
70	655	0
71	632	0
72	626	0
73	650	0
74	600	0
75	576	0
76	567	0
77	580	0
78	551	0
79	504	0
80	505	0
81	486	0
82	528	0
83	466	0
84	453	0
85	446	0
86	419	0
87	453	0
88	452	0
89	417	0
90	429	0
91	393	0
92	379	0
93	365	0
94	399	0
95	372	0
96	339	0
97	363	0
98	377	0
99	373	0
100	363	0
101	352	0
102	385	0
103	376	0
104	350	0
105	314	0
106	297	0
107	277	0
108	292	0
109	271	0
110	303	0
111	269	0
112	253	0
113	258	0
114	242	0
115	241	0
116	231	0
117	241	0
118	221	0
119	241	0
120	241	0
121	255	0
122	242	0
123	215	0
124	207	0
125	198	0
126	185	0
127	190	0
128	200	0
129	164	0
130	168	0
131	194	0
132	192	0
133	196	0
134	174	0
135	215	0
136	160	0
137	197	0
138	209	0
139	185	0
140	206	0
141	190	0
142	174	0
143	198	0
144	179	0
145	166	0
146	151	0
147	188	0
148	178	0
149	169	0
150	187	0
151	139	0
152	157	0
153	147	0
154	126	0
155	129	0
156	156	0
157	114	0
158	142	0
159	123	0
160	150	0
161	149	0
162	138	0
163	148	0
164	116	0
165	112	0
166	124	0
167	129	0
168	139	0
169	109	0
170	104	0
171	119	0
172	109	0
173	118	0
174	129	0
175	106	0
176	97	0
177	110	0
178	118	0
179	125	0
180	108	0
181	137	0
182	95	0
183	128	0
184	98	0
185	104	0
186	105	0
187	105	0
188	126	0
189	110	0
190	117	0
191	101	0
192	83	0
193	89	0
194	101	0
195	97	0
196	99	0
197	91	0
198	102	0
199	102	0
200	91	0
201	81	0
202	64	0
203	81	0
204	101	0
205	76	0
206	77	0
207	79	0
208	78	0
209	85	0
210	78	0
211	62	0
212	73	0
213	72	0
214	80	0
215	69	0
216	84	0
217	73	0
218	81	0
219	74	0
220	82	0
221	73	0
222	79	0
223	87	0
224	68	0
225	80	0
226	85	0
227	81	0
228	78	0
229	70	0
230	75	0
231	91	0
232	77	0
233	78	0
234	69	0
235	68	0
236	62	0
237	62	0
238	70	0
239	75	0
240	75	0
241	59	0
242	66	0
243	61	0
244	67	0
245	73	0
246	68	0
247	77	0
248	53	0
249	66	0
250	70	0
251	53	0
252	50	0
253	57	0
254	65	0
255	58	0
256	53	0
257	51	0
258	48	0
259	50	0
260	64	0
261	55	0
262	51	0
263	45	0
264	49	0
265	39	0
266	56	0
267	40	0
268	43	0
269	44	0
270	44	0
271	38	0
272	44	0
273	43	0
274	40	0
275	39	0
276	46	0
277	37	0
278	57	0
279	44	0
280	44	0
281	53	0
282	55	0
283	52	0
284	44	0
285	47	0
286	52	0
287	32	0
288	35	0
289	30	0
290	34	0
291	39	0
292	30	0
293	36	0
294	26	0
295	37	0
296	20	0
297	29	0
298	41	0
299	32	0
300	36	0
301	46	0
302	43	0
303	47	0
304	35	0
305	27	0
306	38	0
307	36	0
308	42	0
309	31	0
310	39	0
311	36	0
312	26	0
313	37	0
314	28	0
315	34	0
316	20	0
317	32	0
318	26	0
319	32	0
320	32	0
321	33	0
322	40	0
323	27	0
324	23	0
325	31	0
326	32	0
327	34	0
328	31	0
329	21	0
330	26	0
331	30	0
332	30	0
333	31	0
334	32	0
335	23	0
336	10	0
337	18	0
338	16	0
339	24	0
340	33	0
341	18	0
342	31	0
343	31	0
344	25	0
345	25	0
346	20	0
347	34	0
348	18	0
349	17	0
350	25	0
351	25	0
352	23	0
353	22	0
354	17	0
355	27	0
356	28	0
357	20	0
358	26	0
359	22	0
360	21	0
361	26	0
362	31	0
363	28	0
364	23	0
365	27	0
366	37	0
367	21	0
368	22	0
369	26	0
370	19	0
371	15	0
372	15	0
373	30	0
374	27	0
375	26	0
376	28	0
377	27	0
378	23	0
379	21	0
380	20	0
381	30	0
382	27	0
383	28	0
384	33	0
385	28	0
386	24	0
387	27	0
388	31	0
389	25	0
390	30	0
391	26	0
392	22	0
393	24	0
