## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=marked_duplicates_filtered_5.bam OUTPUT=hs_metrics_filtered_5.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 03 19:02:08 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	6856881689	3542010644	4798928890	0.684236	0.315764	0.659386	3092.268019	0.44975	0.208467	629.874201	39358612	4.381505	4.392773	4.400285	4.41531	4.433339	4.496442	2217428	3095693983	111001980	111001980	15245978557	76903352	76889333	15197821223	10512460090	3178277018	1	0.692811	0.999818	1433.316896	1436	12747	0	0.001958	0.308292	0	0.01986	0.014272	0.118858	0.32961	1.319813	0.999649	0.999452	0.998744	0.998373	0.998035	0.997791	0.997516	0.996476	0.990831	0.971218	0.850989	0.022781	0.000723	0.000113	0	0	0	1.055278	3.404627	0.133647	1			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	779	0
1	437	0
2	378	0
3	412	0
4	160	0
5	148	0
6	89	0
7	158	0
8	128	0
9	96	0
10	56	0
11	51	0
12	68	0
13	90	0
14	72	72899796
15	128	0
16	138	0
17	93	0
18	57	0
19	70	0
20	85	0
21	100	15064083
22	94	0
23	75	0
24	74	0
25	70	0
26	76	0
27	59	77711222
28	55	0
29	62	0
30	66	0
31	58	0
32	65	309726622
33	48	0
34	50	0
35	47	0
36	56	2771895304
37	43	0
38	58	0
39	49	0
40	57	0
41	60	0
42	56	0
43	56	0
44	82	0
45	64	0
46	63	0
47	48	0
48	57	0
49	66	0
50	66	0
51	62	0
52	46	0
53	48	0
54	44	0
55	49	0
56	41	0
57	46	0
58	58	0
59	47	0
60	65	0
61	52	0
62	42	0
63	43	0
64	48	0
65	30	0
66	50	0
67	39	0
68	37	0
69	38	0
70	43	0
71	47	0
72	50	0
73	46	0
74	36	0
75	46	0
76	37	0
77	49	0
78	34	0
79	37	0
80	47	0
81	42	0
82	51	0
83	48	0
84	49	0
85	42	0
86	39	0
87	37	0
88	33	0
89	42	0
90	40	0
91	43	0
92	48	0
93	50	0
94	53	0
95	63	0
96	38	0
97	54	0
98	55	0
99	58	0
100	69	0
101	65	0
102	69	0
103	71	0
104	65	0
105	66	0
106	62	0
107	56	0
108	55	0
109	54	0
110	62	0
111	70	0
112	38	0
113	54	0
114	47	0
115	37	0
116	48	0
117	67	0
118	52	0
119	64	0
120	61	0
121	80	0
122	70	0
123	63	0
124	75	0
125	74	0
126	64	0
127	62	0
128	71	0
129	68	0
130	71	0
131	62	0
132	54	0
133	78	0
134	79	0
135	85	0
136	59	0
137	85	0
138	85	0
139	73	0
140	72	0
141	85	0
142	66	0
143	76	0
144	77	0
145	72	0
146	80	0
147	71	0
148	84	0
149	61	0
150	66	0
151	69	0
152	81	0
153	67	0
154	85	0
155	73	0
156	64	0
157	84	0
158	76	0
159	80	0
160	89	0
161	60	0
162	88	0
163	108	0
164	74	0
165	87	0
166	83	0
167	69	0
168	79	0
169	83	0
170	60	0
171	77	0
172	85	0
173	68	0
174	71	0
175	72	0
176	76	0
177	63	0
178	83	0
179	81	0
180	99	0
181	81	0
182	84	0
183	79	0
184	77	0
185	76	0
186	83	0
187	82	0
188	87	0
189	87	0
190	73	0
191	86	0
192	91	0
193	98	0
194	90	0
195	84	0
196	88	0
197	90	0
198	104	0
199	87	0
200	95	0
201	85	0
202	94	0
203	74	0
204	85	0
205	78	0
206	95	0
207	94	0
208	80	0
209	87	0
210	80	0
211	92	0
212	91	0
213	81	0
214	109	0
215	83	0
216	96	0
217	96	0
218	98	0
219	77	0
220	110	0
221	92	0
222	114	0
223	100	0
224	123	0
225	103	0
226	149	0
227	116	0
228	139	0
229	96	0
230	114	0
231	114	0
232	121	0
233	130	0
234	107	0
235	114	0
236	101	0
237	93	0
238	101	0
239	117	0
240	120	0
241	109	0
242	122	0
243	107	0
244	109	0
245	125	0
246	119	0
247	100	0
248	106	0
249	114	0
250	110	0
251	113	0
252	90	0
253	118	0
254	114	0
255	116	0
256	105	0
257	98	0
258	84	0
259	103	0
260	113	0
261	108	0
262	115	0
263	111	0
264	107	0
265	115	0
266	109	0
267	100	0
268	112	0
269	100	0
270	89	0
271	98	0
272	113	0
273	130	0
274	105	0
275	107	0
276	122	0
277	155	0
278	106	0
279	113	0
280	107	0
281	135	0
282	119	0
283	125	0
284	118	0
285	128	0
286	125	0
287	110	0
288	113	0
289	128	0
290	114	0
291	108	0
292	115	0
293	132	0
294	125	0
295	147	0
296	121	0
297	136	0
298	152	0
299	141	0
300	140	0
301	138	0
302	143	0
303	126	0
304	151	0
305	156	0
306	152	0
307	158	0
308	161	0
309	151	0
310	150	0
311	148	0
312	159	0
313	144	0
314	125	0
315	150	0
316	176	0
317	156	0
318	145	0
319	182	0
320	186	0
321	161	0
322	169	0
323	172	0
324	160	0
325	157	0
326	163	0
327	164	0
328	163	0
329	173	0
330	167	0
