## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] TARGET_INTERVALS=[pool1_pool2_nochr_3c.sort.merged.padded20.hg19.210311.met.annotated.interval_list] INPUT=marked_duplicates_filteredout_5.bam OUTPUT=hs_metrics_filteredout_5.txt COVERAGE_CAP=5000 REFERENCE_SEQUENCE=/home/tomas/data/reference/hg19.with.mt.fasta    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 03 18:59:22 CET 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
pool1_pool2_nochr_3c	2217428	1	144935962	107005830	340807251	0.42504	0.57496	0.575276	65.362195	0.238393	0.095948	341.360913	747236	-1	-1	-1	-1	-1	-1	2217428	3095693983	4293058	4293058	607971018	2885300	2884040	592749043	399649126	58333738	1	0.672085	0.999563	26.306937	7	21726	0	0.034185	0.32577	0	0.023091	0.06131	0.081882	0.40962	6.576734	0.986004	0.951895	0.341289	0.196	0.148964	0.120458	0.100308	0.050699	0.014834	0.004918	0.001239	0.000321	0.00008	0.000069	0	0	0	9.469348	9.34717	0.865953	9			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	31035	0
1	75634	0
2	139814	0
3	194744	0
4	222549	0
5	219764	0
6	194817	0
7	161107	0
8	125167	0
9	96013	0
10	71597	0
11	54781	0
12	42164	0
13	33619	0
14	27413	8049470
15	23031	0
16	20281	0
17	17853	0
18	16543	0
19	14886	0
20	13968	0
21	12721	907495
22	11933	0
23	11018	0
24	10571	0
25	9814	0
26	9514	0
27	8789	3120936
28	8264	0
29	7707	0
30	7463	0
31	7073	0
32	6946	7598220
33	6780	0
34	6392	0
35	6119	0
36	5974	44900130
37	5663	0
38	5433	0
39	5366	0
40	5271	0
41	4906	0
42	4855	0
43	4707	0
44	4534	0
45	4305	0
46	4138	0
47	4036	0
48	4029	0
49	3902	0
50	3783	0
51	3644	0
52	3626	0
53	3531	0
54	3568	0
55	3384	0
56	3481	0
57	3221	0
58	3209	0
59	3105	0
60	3147	0
61	3043	0
62	2958	0
63	2792	0
64	2702	0
65	2495	0
66	2666	0
67	2399	0
68	2364	0
69	2318	0
70	2235	0
71	2141	0
72	2096	0
73	1998	0
74	2021	0
75	1902	0
76	1842	0
77	1838	0
78	1851	0
79	1736	0
80	1664	0
81	1640	0
82	1664	0
83	1666	0
84	1582	0
85	1523	0
86	1442	0
87	1421	0
88	1511	0
89	1467	0
90	1421	0
91	1412	0
92	1406	0
93	1472	0
94	1325	0
95	1324	0
96	1294	0
97	1298	0
98	1195	0
99	1180	0
100	1154	0
101	1191	0
102	1105	0
103	1174	0
104	1189	0
105	1067	0
106	1085	0
107	1029	0
108	988	0
109	1017	0
110	957	0
111	1039	0
112	990	0
113	1021	0
114	965	0
115	934	0
116	920	0
117	812	0
118	865	0
119	869	0
120	894	0
121	899	0
122	824	0
123	893	0
124	824	0
125	829	0
126	886	0
127	845	0
128	890	0
129	896	0
130	840	0
131	810	0
132	815	0
133	813	0
134	710	0
135	772	0
136	775	0
137	738	0
138	686	0
139	701	0
140	684	0
141	684	0
142	647	0
143	696	0
144	621	0
145	622	0
146	632	0
147	620	0
148	617	0
149	640	0
150	547	0
151	572	0
152	556	0
153	577	0
154	559	0
155	605	0
156	581	0
157	587	0
158	588	0
159	545	0
160	529	0
161	575	0
162	518	0
163	515	0
164	536	0
165	533	0
166	469	0
167	480	0
168	466	0
169	492	0
170	474	0
171	508	0
172	496	0
173	484	0
174	524	0
175	490	0
176	478	0
177	477	0
178	461	0
179	465	0
180	423	0
181	388	0
182	442	0
183	436	0
184	383	0
185	392	0
186	367	0
187	395	0
188	345	0
189	374	0
190	390	0
191	365	0
192	372	0
193	368	0
194	390	0
195	318	0
196	350	0
197	369	0
198	324	0
199	312	0
200	343	0
201	305	0
202	308	0
203	300	0
204	306	0
205	333	0
206	302	0
207	295	0
208	303	0
209	306	0
210	305	0
211	308	0
212	315	0
213	266	0
214	274	0
215	255	0
216	311	0
217	271	0
218	269	0
219	295	0
220	262	0
221	254	0
222	296	0
223	253	0
224	241	0
225	247	0
226	246	0
227	210	0
228	250	0
229	248	0
230	242	0
231	221	0
232	232	0
233	242	0
234	224	0
235	204	0
236	228	0
237	246	0
238	244	0
239	202	0
240	226	0
241	243	0
242	214	0
243	231	0
244	261	0
245	232	0
246	253	0
247	253	0
248	260	0
249	230	0
250	208	0
251	220	0
252	218	0
253	216	0
254	239	0
255	201	0
256	199	0
257	206	0
258	221	0
259	176	0
260	192	0
261	160	0
262	186	0
263	180	0
264	176	0
265	186	0
266	163	0
267	163	0
268	164	0
269	152	0
270	158	0
271	178	0
272	166	0
273	174	0
274	152	0
275	176	0
276	155	0
277	146	0
278	132	0
279	149	0
280	148	0
281	164	0
282	152	0
283	157	0
284	157	0
285	157	0
286	142	0
287	138	0
288	154	0
289	137	0
290	139	0
291	121	0
292	122	0
293	132	0
294	160	0
295	144	0
296	126	0
297	148	0
298	166	0
299	153	0
300	153	0
301	121	0
302	144	0
303	126	0
304	129	0
305	150	0
306	129	0
307	148	0
308	136	0
309	149	0
310	142	0
311	129	0
312	115	0
313	129	0
314	125	0
315	104	0
316	121	0
317	124	0
318	103	0
319	103	0
320	109	0
321	96	0
322	94	0
323	106	0
324	80	0
325	118	0
326	92	0
327	93	0
328	105	0
329	82	0
330	108	0
331	116	0
332	91	0
333	98	0
334	106	0
335	84	0
336	102	0
337	102	0
338	99	0
339	81	0
340	89	0
341	98	0
342	97	0
343	84	0
344	106	0
345	91	0
346	91	0
347	90	0
348	82	0
349	104	0
350	96	0
351	87	0
352	105	0
353	84	0
354	75	0
355	88	0
356	73	0
357	67	0
358	88	0
359	72	0
360	75	0
361	76	0
362	75	0
363	80	0
364	73	0
365	65	0
366	70	0
367	90	0
368	67	0
369	74	0
370	82	0
371	72	0
372	62	0
373	67	0
374	83	0
375	71	0
376	67	0
377	69	0
378	65	0
379	74	0
380	59	0
381	56	0
382	60	0
383	58	0
384	64	0
385	67	0
386	79	0
387	57	0
388	59	0
389	60	0
390	65	0
391	73	0
392	66	0
393	76	0
394	58	0
395	60	0
396	72	0
397	77	0
398	68	0
399	55	0
400	63	0
401	58	0
402	64	0
403	63	0
404	67	0
405	67	0
406	51	0
407	72	0
408	54	0
409	71	0
410	52	0
411	71	0
412	57	0
413	46	0
414	64	0
415	70	0
416	62	0
417	37	0
418	71	0
419	50	0
420	56	0
421	54	0
422	49	0
423	52	0
424	47	0
425	54	0
426	38	0
427	50	0
428	49	0
429	48	0
430	37	0
431	41	0
432	49	0
433	55	0
434	72	0
435	60	0
436	46	0
437	44	0
438	47	0
439	53	0
440	44	0
441	38	0
442	58	0
443	46	0
444	56	0
445	46	0
446	44	0
447	51	0
448	39	0
449	36	0
450	45	0
451	39	0
452	39	0
453	42	0
454	42	0
455	34	0
456	42	0
457	43	0
458	39	0
459	48	0
460	30	0
461	50	0
462	43	0
463	41	0
464	31	0
465	37	0
466	37	0
467	53	0
468	33	0
469	34	0
470	40	0
471	57	0
472	49	0
473	33	0
474	44	0
475	42	0
476	37	0
477	39	0
478	29	0
479	43	0
480	52	0
481	40	0
482	46	0
483	42	0
484	35	0
485	33	0
486	36	0
487	34	0
488	41	0
489	38	0
490	35	0
491	28	0
492	36	0
493	37	0
494	35	0
495	32	0
496	22	0
497	40	0
498	26	0
499	31	0
500	36	0
501	38	0
502	30	0
503	29	0
504	36	0
505	21	0
506	19	0
507	28	0
508	25	0
509	38	0
510	35	0
