Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr1 120539599 120539975 NOTCH2_Exon4_NM_024408.4 1476.82 0.00 1476.82 100.0
chr2 88056951 88057001 PLGLB2_Exon4_NM_002665.4 687.34 0.00 687.34 100.0
chr2 111887688 111887832 BCL2L11_Exon3_NM_138625.4 2.82 0.00 2.82 100.0
chr2 190671128 190671248 PMS1_Exon5_NM_001321051.1 2.16 0.00 2.16 100.0
chr3 178937338 178937543 PIK3CA_Exon12_NM_006218.4 1605.38 0.00 1605.38 100.0
chr4 15995660 15995707 PROM1_Exon15_NM_001145849.2 316.96 0.00 316.96 100.0
chr4 56336934 56336982 CLOCK_Exon9_NM_001267843.1 307.18 0.00 307.18 100.0
chr7 6013009 6013193 PMS2_Exon15_NM_001322005.2 1780.52 0.00 1780.52 100.0
chr7 74144546 74144652 GTF2I_Exon12_NM_001518.5 1928.04 0.00 1928.04 100.0
chr7 74160201 74160300 GTF2I_Exon20_NM_001518.5 1869.16 0.00 1869.16 100.0
chr7 74160655 74160770 GTF2I_Exon21_NM_001518.5 1224.74 0.00 1224.74 100.0
chr7 74166401 74166522 GTF2I_Exon26_NM_001518.5 944.50 0.00 944.5 100.0
chr7 74167405 74167529 GTF2I_Exon27_NM_001518.5 1167.14 0.00 1167.14 100.0
chr7 74168157 74168381 GTF2I_Exon28_NM_001518.5 2112.14 0.00 2112.14 100.0
chr7 74169820 74169889 GTF2I_Exon29_NM_001518.5 2394.60 0.00 2394.6 100.0
chr7 74171131 74171213 GTF2I_Exon30_NM_001518.5 2016.92 0.00 2016.92 100.0
chr7 74173089 74173188 GTF2I_Exon32_NM_001518.5 2198.50 0.00 2198.5 100.0
chr7 151919637 151919787 KMT2C_Exon21_NM_170606.3 1936.42 0.00 1936.42 100.0
chr8 6482396 6482578 MCPH1_Exon14_NM_001322042.2 1.84 0.00 1.84 100.0
chr8 90977711 90977738 NBN_Intron8_NM_002485.4 1.52 0.00 1.52 100.0
chr10 89725274 89725324 PTEN_Exon9_NM_001304718.2 1127.64 0.00 1127.64 100.0
chr10 120896666 120896727 DENND10_Exon9_NM_207009.4 219.22 0.00 219.22 100.0
chr11 40135859 40135907 LRRC4C_Exon5_NM_020929.2 327.52 0.00 327.52 100.0
chr11 89721995 89722042 TRIM51EP_Exon3_NR_146921.1 690.60 0.00 690.6 100.0
chr11 111963783 111963941 SDHD_Exon4_NM_001276506.2 1.52 0.00 1.52 100.0
chr12 6994499 6994553 DSTNP2_Exon1_NR_033796.2 0.62 0.00 0.62 100.0
chr12 21623107 21623300 RECQL_Exon15_NM_002907.4 1210.28 0.00 1210.28 100.0
chr14 69061181 69061340 RAD51B_Exon11_NM_133509.4 1.14 0.00 1.14 100.0
chr15 25310173 25310220 SNORD116-6_Exon1_NR_003321.1 253.96 0.00 253.96 100.0
chr15 83659276 83659329 RAMAC_Exon4_NM_031452.4 337.60 0.00 337.6 100.0
chr17 16068272 16068495 NCOR1_Exon5_NM_006311.4 2321.60 0.00 2321.6 100.0
chr17 40452127 40452319 STAT5A_Exon8_NM_003152.3 1461.66 0.00 1461.66 100.0
chrX 1321350 1321392 CRLF2_Exon4_NM_022148.4 450.34 0.00 450.34 100.0
chrX 32841391 32841524 DMD_Exon5_NM_000109.4 605.58 0.00 605.58 100.0
chr3 10105455 10105615 FANCD2_Exon21_NM_001018115.2 1542.46 0.08 1542.38 99.994813
chr7 151921079 151921284 KMT2C_Exon20_NM_170606.3 2162.62 0.14 2162.48 99.993526
chr7 74163584 74163808 GTF2I_Exon24_NM_001518.5 2389.70 0.36 2389.34 99.984935
chrX 134680297 134680344 INTS6L_Exon4_NM_001351606.2 256.36 0.04 256.32 99.984397
chr1 120547931 120548231 NOTCH2_Exon3_NM_024408.4 1629.50 0.36 1629.14 99.977907
chr3 178935977 178936142 PIK3CA_Exon10_NM_006218.4 1168.24 0.26 1167.98 99.977744
chr7 74143103 74143254 GTF2I_Exon11_NM_001518.5 1993.02 0.46 1992.56 99.976919
chr7 74159076 74159300 GTF2I_Exon19_NM_001518.5 2186.44 0.54 2185.9 99.975302
chr1 120572508 120572630 NOTCH2_Exon2_NM_024408.4 3666.22 0.96 3665.26 99.973815
chr7 151921499 151921721 KMT2C_Exon19_NM_170606.3 2393.92 0.64 2393.28 99.973266
chr3 178938753 178938965 PIK3CA_Exon14_NM_006218.4 1668.34 0.48 1667.86 99.971229
chr6 31948410 31948598 STK19_Exon7_NR_026717.1 1778.42 0.52 1777.9 99.970761
chr3 10085492 10085568 FANCD2_Exon14_NM_001018115.2 1495.02 0.44 1494.58 99.970569
chr18 61310374 61310471 SERPINB4_Exon3_NM_002974.4 2258.94 0.72 2258.22 99.968127
chr5 240452 240611 SDHA_Exon10_NM_001294332.1 1310.50 0.42 1310.08 99.967951
chr7 74172271 74172353 GTF2I_Exon31_NM_001518.5 2792.80 1.00 2791.8 99.964194
chr18 61310626 61310831 SERPINB4_Exon2_NM_002974.4 2268.28 0.84 2267.44 99.962968
chr10 112333444 112333523 SMC3_Exon3_NM_005445.3 1341.10 0.50 1340.6 99.962717
chr6 31981517 31981564 TNXA_Intergenic18_NR_001284.2 1763.54 0.70 1762.84 99.960307
chr6 31948760 31948846 STK19_Exon8_NR_026717.1 1828.88 0.74 1828.14 99.959538
chr7 74150821 74151045 GTF2I_Exon16_NM_001518.5 2630.82 1.10 2629.72 99.958188
chr9 68427799 68427845 FRG1JP_Exon9_NR_033907.2 4568.84 2.00 4566.84 99.956225
chr5 254487 254641 SDHA_Exon13_NM_001294332.1 1251.98 0.56 1251.42 99.955271
chr22 42523804 42524025 CYP2D6_Exon6_NM_000106.6 1291.08 0.58 1290.5 99.955076
chr22 42522813 42523034 CYP2D6_Exon8_NM_000106.6 1804.60 0.82 1803.78 99.954561
chr7 151904364 151904533 KMT2C_Exon24_NM_170606.3 1770.18 0.86 1769.32 99.951417
chr7 151927284 151927426 KMT2C_Exon17_NM_170606.3 1956.76 0.96 1955.8 99.950939
chr7 151926987 151927132 KMT2C_Exon18_NM_170606.3 4707.64 2.34 4705.3 99.950294
chr7 151935771 151935931 KMT2C_Exon15_NM_170606.3 2971.98 1.48 2970.5 99.950202
chr5 149509299 149509551 PDGFRB_Exon10_NM_001355017.2 1121.00 0.56 1120.44 99.950045
chr3 178937716 178937860 PIK3CA_Exon13_NM_006218.4 1350.12 0.72 1349.4 99.946671
chr17 40371309 40371501 STAT5B_Exon7_NM_012448.4 1432.32 0.78 1431.54 99.945543
chr17 40370720 40370916 STAT5B_Exon8_NM_012448.4 1307.42 0.72 1306.7 99.94493
chr3 10107527 10107683 FANCD2_Exon25_NM_001018115.2 1330.98 0.80 1330.18 99.939894
chr15 79750566 79750613 MINAR1_Exon2_NM_015206.3 324.82 0.20 324.62 99.938427
chr18 61308973 61309142 SERPINB4_Exon4_NM_002974.4 1943.42 1.24 1942.18 99.936195
chr9 80430511 80430706 GNAQ_Exon3_NM_002072.5 1339.18 0.86 1338.32 99.935782
chr7 74157767 74157879 GTF2I_Exon18_NM_001518.5 1822.58 1.18 1821.4 99.935257
chr7 74163341 74163447 GTF2I_Exon23_NM_001518.5 2357.18 1.58 2355.6 99.932971
chr3 10091037 10091209 FANCD2_Exon17_NM_001018115.2 1962.90 1.32 1961.58 99.932753
chr7 74165672 74165768 GTF2I_Exon25_NM_001518.5 2713.80 1.88 2711.92 99.930724
chr9 131355241 131355341 SPTAN1_Exon23_NM_003127.4 1381.70 1.00 1380.7 99.927625
chr17 40451748 40451919 STAT5A_Exon7_NM_003152.3 1489.64 1.08 1488.56 99.927499
chr7 74148244 74148343 GTF2I_Exon14_NM_001518.5 2145.96 1.60 2144.36 99.925441
chrX 128645760 128645980 SMARCA1_Exon6_NM_003069.5 1318.80 1.00 1317.8 99.924173
chr7 151962102 151962314 KMT2C_Exon8_NM_170606.3 4183.56 3.20 4180.36 99.92351
chr22 36722592 36722726 MYH9_Exon5_NM_002473.5 1271.78 1.00 1270.78 99.92137
chr3 37083738 37083842 MLH1_Exon14_NM_001258273.1 1259.36 1.00 1258.36 99.920595
chr1 163297997 163298114 NUF2_Exon4_NM_031423.4 1283.06 1.02 1282.04 99.920503
chr13 21555584 21555807 LATS2_Exon6_NM_014572.3 1024.58 0.82 1023.76 99.919967
chr13 33249960 33250116 PDS5B_Exon9_NM_015032.4 1659.56 1.34 1658.22 99.919256
chr19 11132380 11132663 SMARCA4_Exon19_NM_001128847.3 1176.22 0.96 1175.26 99.918383
chr3 10106019 10106133 FANCD2_Exon22_NM_001018115.2 1905.68 1.58 1904.1 99.91709
chrX 40993957 40994110 USP9X_Exon5_NM_001039591.3 1177.64 0.98 1176.66 99.916783
chr16 2124180 2124410 TSC2_Exon21_NM_001318829.1 1394.40 1.22 1393.18 99.912507
chr10 88681256 88681472 BMPR1A_Exon11_NM_004329.2 1546.62 1.36 1545.26 99.912066
chr1 193038157 193038205 RO60_Exon2_NM_001173524.2 658.12 0.58 657.54 99.91187
chr1 115269583 115269731 CSDE1_Exon14_NM_001242891.1 1520.20 1.34 1518.86 99.911854
