Undetected variants
Location Expected abundance
11181327 18.0
11190646 18.0
11254597 26.0
27056285 32.0
27100181 33.0
46738433 33.0
65312342 32.0
115256530 9.0
120458004 37.0
120611964 34.0
120612006 32.0
156846233 46.0
156846307 28.0
156848995 51.0
25469502 13.0
29416326 34.0
29416366 52.0
29416615 29.0
29543736 32.0
30143058 35.0
48018236 22.0
178095900 35.0
198265526 19.0
215645464 41.0
215645545 33.0
12475557 22.0
12645007 57.0
37056000 15.0
178936091 12.0
178947865 31.0
178952085 20.0
1803307 38.0
55138600 36.0
55143577 10.0
55152040 18.0
55599321 10.0
55602765 11.0
55604693 28.0
55972974 12.0
153332500 35.0
1254594 32.0
67522722 23.0
79970914 33.0
112164561 34.0
112175770 39.0
112176325 23.0
112176559 38.0
112177171 18.0
112179431 33.0
149457678 29.0
149460553 21.0
149495395 48.0
149499672 39.0
149504348 11.0
149509446 30.0
117718110 32.0
6026988 22.0
55241707 24.0
55249063 19.0
55249071 0.0
55259515 3.0
116339847 9.0
116436022 5.0
140449150 20.0
140453136 6.0
140494209 19.0
30999280 43.0
31012190 19.0
31024654 6.0
90993061 19.0
145737816 39.0
145741702 32.0
5050706 18.0
5081780 38.0
98211548 29.0
139391636 25.0
139396746 32.0
139397707 22.0
139407932 36.0
139409754 32.0
139418260 43.0
43595968 32.0
43613843 57.0
88635779 14.0
69462910 43.0
69625385 34.0
25362777 29.0
25398281 13.0
25398284 4.0
112891125 22.0
28578214 17.0
28895620 21.0
32911888 39.0
32912299 25.0
32912750 41.0
32913558 35.0
32936646 33.0
103515036 25.0
45645974 18.0
65507589 27.0
66727451 27.0
66729147 31.0
88680684 34.0
91354505 42.0
3658433 32.0
14041958 29.0
89807233 37.0
89815152 29.0
89825065 28.0
89839766 23.0
89857935 27.0
29632336 29.0
37879588 25.0
41234451 29.0
4102449 31.0
15278222 37.0
15302905 32.0
57415471 33.0
57429753 26.0
57484241 22.0
41536164 32.0
41551039 52.0
76938088 29.0
