Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr2 46605775 46605926 EPAS1_Exon11_NM_001430.5 1306.62 0.00 1306.62 100.0
chr2 88056951 88057001 PLGLB2_Exon4_NM_002665.4 687.34 0.00 687.34 100.0
chr2 111887688 111887832 BCL2L11_Exon3_NM_138625.4 2.82 0.00 2.82 100.0
chr2 165551276 165551324 COBLL1_Exon13_NM_001365671.1 351.98 0.00 351.98 100.0
chr2 190671128 190671248 PMS1_Exon5_NM_001321051.1 2.16 0.00 2.16 100.0
chr2 234638263 234638310 UGT1A3_Exon1_NM_019093.2 265.08 0.00 265.08 100.0
chr3 49398340 49398519 RHOA_Exon5_NM_001313943.2 5.44 0.00 5.44 100.0
chr3 178937338 178937543 PIK3CA_Exon12_NM_006218.4 1605.38 0.00 1605.38 100.0
chr3 178937716 178937860 PIK3CA_Exon13_NM_006218.4 1350.12 0.00 1350.12 100.0
chr4 15938158 15938206 FGFBP1_Exon3_NM_005130.5 253.12 0.00 253.12 100.0
chr4 15995660 15995707 PROM1_Exon15_NM_001145849.2 316.96 0.00 316.96 100.0
chr4 56336934 56336982 CLOCK_Exon9_NM_001267843.1 307.18 0.00 307.18 100.0
chr5 149509299 149509551 PDGFRB_Exon10_NM_001355017.2 1121.00 0.00 1121.0 100.0
chr6 31981517 31981564 TNXA_Intergenic18_NR_001284.2 1763.54 0.00 1763.54 100.0
chr7 6013009 6013193 PMS2_Exon15_NM_001322005.2 1780.52 0.00 1780.52 100.0
chr7 74143103 74143254 GTF2I_Exon11_NM_001518.5 1993.02 0.00 1993.02 100.0
chr7 74144546 74144652 GTF2I_Exon12_NM_001518.5 1928.04 0.00 1928.04 100.0
chr7 74160201 74160300 GTF2I_Exon20_NM_001518.5 1869.16 0.00 1869.16 100.0
chr7 74160655 74160770 GTF2I_Exon21_NM_001518.5 1224.74 0.00 1224.74 100.0
chr7 74166401 74166522 GTF2I_Exon26_NM_001518.5 944.50 0.00 944.5 100.0
chr7 74167405 74167529 GTF2I_Exon27_NM_001518.5 1167.14 0.00 1167.14 100.0
