Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr12 6994499 6994553 DSTNP2_Exon1_NR_033796.2 0.62 0.00 0.62 100.0
chr15 43788815 43788845 TP53BP1_Intron2_NM_005657.4 0.84 0.00 0.84 100.0
chr17 56807520 56807547 RAD51C_Intron7_NM_058216.3 0.14 0.00 0.14 100.0
chr17 4996451 4996508 ZFP3_Exon2_NM_153018.3 231.78 28.02 203.76 87.91095
chr7 23545100 23545159 TRA2A_Exon8_NM_001362761.2 447.94 55.48 392.46 87.614413
chr1 235507447 235507505 GGPS1_Exon4_NM_001371477.1 355.92 49.14 306.78 86.193527
chr3 52621581 52621612 PBRM1_Intron24_NM_001350077.2 528.00 81.04 446.96 84.651515
chr6 31324842 31324955 HLA-B_Exon1_NM_005514.8 1614.76 259.20 1355.56 83.948079
chr2 173686446 173686509 RAPGEF4_Exon1_NM_001100397.1 393.58 67.02 326.56 82.971696
chr12 55038389 55038451 DCD_Exon6_NM_001300854.2 314.16 55.04 259.12 82.480265
chr17 45266491 45266558 CDC27_Exon1_NM_001114091.4 15494.80 2923.20 12571.6 81.134316
chr10 89636672 89636701 PTEN_Intron1_NM_001304718.2 295.58 56.00 239.58 81.054199
chr11 105481578 105481636 GRIA4_Exon1_NM_001112812.2 541.24 108.18 433.06 80.012564
chr18 48577023 48577049 SMAD4_Intron4_NM_005359.6 242.00 51.24 190.76 78.826446
chr2 14778318 14778378 LRATD1_Exon2_NM_145175.4 142.86 30.46 112.4 78.678426
chr16 9934666 9934695 GRIN2A_Intron7_NM_001134408.2 347.72 77.68 270.04 77.660186
chr12 70747674 70747738 CNOT2_Exon17_NM_001199302.1 468.94 105.78 363.16 77.442743
chr14 69149633 69149681 RAD51B_Exon11_NM_001321818.1 1427.82 328.06 1099.76 77.023714
chr4 106163076 106163130 TET2_Exon3_NM_017628.4 385.84 98.20 287.64 74.549036
chr10 32316535 32316565 KIF5B_Intron16_NM_004521.3 364.96 99.60 265.36 72.709338
chr17 45214497 45214746 CDC27_Exon14_NM_001114091.4 14522.58 4386.34 10136.24 69.796414
chr6 163991907 163991963 QKI_Exon8_NM_001301085.2 478.74 146.92 331.82 69.311108
chr14 69006896 69006956 RAD51B_Exon11_NM_001321814.1 1545.08 481.34 1063.74 68.846921
chr2 42499214 42499241 EML4_Intron5_NM_001145076.3 179.48 61.08 118.4 65.968353
chr4 155244369 155244501 DCHS2_Exon8_NM_001142552.2 1416.06 487.46 928.6 65.576317
chr11 26581363 26581442 MUC15_Exon5_NM_001135091.2 129.54 44.64 84.9 65.539602
chr7 152351276 152351306 XRCC2_Intron3_NM_005431.2 240.64 83.96 156.68 65.109707
chr5 78671708 78671766 HOMER1_Exon9_NM_004272.5 248.96 90.66 158.3 63.584512
chrX 44935875 44935893 KDM6A_Intron15_NM_001291421.1 421.84 155.34 266.5 63.175612
chr6 31324444 31324754 HLA-B_Exon2_NM_005514.8 1480.54 547.98 932.56 62.987829
chr13 50587635 50587696 TRIM13_Exon3_NM_005798.5 3.00 1.14 1.86 62.0
chr4 84389456 84389486 ABRAXAS1_Intron7_NM_139076.3 428.80 169.70 259.1 60.42444
chr1 27992781 27992843 IFI6_Exon5_NM_022873.3 196.30 78.02 118.28 60.254712
chr1 161091795 161091851 DEDD_Exon6_NM_001330765.2 594.10 239.62 354.48 59.666723
chr17 45221228 45221368 CDC27_Exon10_NM_001114091.4 7085.68 3064.08 4021.6 56.756726
chr5 98216962 98217099 CHD1_Exon20_NM_001270.2 1425.60 624.66 800.94 56.18266
chr17 59892469 59892497 BRIP1_Intron7_NM_032043.3 389.54 172.32 217.22 55.763208
chr2 215656870 215656896 BARD1_Intron4_NM_000465.4 574.88 254.54 320.34 55.722933
chr5 134907413 134907495 CXCL14_Exon4_NM_004887.5 258.60 114.98 143.62 55.53751
chr17 7579679 7579741 TP53_Exon3_NM_001276696.2 660.84 303.38 357.46 54.091762
chr17 59859276 59859305 BRIP1_Intron12_NM_032043.3 139.06 64.90 74.16 53.329498
chr1 236714273 236714330 LGALS8_Exon12_NM_201545.2 349.44 163.64 185.8 53.170788
chrX 123200004 123200132 STAG2_Exon22_NM_001042749.2 1129.12 531.75 597.37 52.905803
chr2 48033897 48034019 MSH6_Exon8_NM_001281492.1 1327.80 630.86 696.94 52.488327
chr4 185340602 185340742 IRF2_Exon3_NM_002199.4 905.36 431.00 474.36 52.394628
chr19 14104669 14104722 RFX1_Exon2_NM_002918.5 286.08 143.50 142.58 49.839206
chr9 100777765 100777818 ANP32B_Exon7_NM_006401.3 661.32 331.78 329.54 49.830642
chr17 41218724 41218828 BRCA1_Intron16_NM_007298.3 1105.48 555.14 550.34 49.7829
chr1 10357211 10357324 KIF1B_Exon20_NM_183416.4 1348.08 694.74 653.34 48.464483
chr7 30673493 30673547 GARS1_Exon17_NM_001316772.1 463.36 239.02 224.34 48.415919
chr9 84248242 84248299 TLE1_Exon8_NM_001303103.1 1031.88 533.26 498.62 48.32151
chr20 9453905 9454032 PLCB4_Exon37_NM_001172646.1 1146.28 595.00 551.28 48.092962
chrX 123195600 123195744 STAG2_Exon17_NM_001042749.2 1062.62 551.88 510.74 48.064219
chr2 17940116 17940141 GEN1_Intron1_NM_182625.5 183.36 95.60 87.76 47.862129
chr8 117868384 117868547 RAD21_Exon8_NM_006265.3 1834.18 958.06 876.12 47.766304
chr17 41219528 41220025 BRCA1_Exon15_NM_007298.3 1265.16 667.70 597.46 47.224067
chr1 78414291 78414348 FUBP1_Exon21_NM_001303433.1 939.30 496.04 443.26 47.190461
chr6 29911024 29911340 HLA-A_Exon3_NM_002116.8 1855.46 981.34 874.12 47.11069
chr5 158526577 158526627 EBF1_Exon1_NM_001324111.2 375.20 199.10 176.1 46.934968
chr5 55243300 55243437 IL6ST_Exon15_NM_002184.4 1059.14 562.30 496.84 46.909757
chr12 42835309 42835363 PPHLN1_Exon8_NM_001143789.1 339.58 184.40 155.18 45.697626
chr17 45219198 45219411 CDC27_Exon12_NM_001114091.4 5568.82 3044.14 2524.68 45.335996
chr22 24135966 24135990 SMARCB1_Intron3_NM_001007468.3 392.46 216.30 176.16 44.886103
chr2 111886183 111886348 BCL2L11_Exon4_NM_207002.3 1469.50 811.20 658.3 44.79755
chr13 28942837 28942863 FLT1_Intron15_NM_002019.4 699.26 386.38 312.88 44.744444
chr4 155295071 155295107 DCHS2_Intron3_NM_001358235.2 1492.84 825.25 667.59 44.719461
chr5 83239113 83239167 EDIL3_Exon11_NM_005711.5 406.70 224.94 181.76 44.691419
chr10 112360176 112360324 SMC3_Exon22_NM_005445.3 1310.56 725.00 585.56 44.680137
chr5 122359448 122359499 PPIC_Exon5_NM_000943.5 288.78 160.08 128.7 44.566798
chr3 1339552 1339695 CNTN6_Exon6_NM_001349359.2 1173.86 651.44 522.42 44.504455
chr14 69149816 69149841 LOC100996664_Intergenic8_NR_135816.1 899.24 500.52 398.72 44.339665
chr17 59941013 59941039 BRIP1_Intergenic12_NM_032043.3 238.84 133.80 105.04 43.979233
chr14 53513420 53513471 DDHD1_Exon13_NM_001160147.2 427.86 240.40 187.46 43.813397
chr2 17938508 17938537 GEN1_Intron1_NM_182625.5 362.94 205.56 157.38 43.362539
chr15 89816587 89816720 FANCI_Exon11_NM_001113378.1 1109.32 638.68 470.64 42.425991
chr6 161523710 161523831 MAP3K4_Exon18_NM_001363582.1 1278.36 745.04 533.32 41.719078
chr17 41275225 41275358 BRCA1_Intron2_NM_007298.3 1067.12 624.94 442.18 41.436764
chr11 125763591 125763643 PUS3_Exon4_NM_031307.4 257.70 151.10 106.6 41.365929
chr1 167385159 167385213 POU2F1_Exon17_NM_001365849.1 384.74 227.10 157.64 40.973125
chr17 29508707 29508823 NF1_Exon7_NM_000267.3 1245.72 740.96 504.76 40.519539
chr5 122359483 122359552 PPIC_Exon5_NM_000943.5 340.44 203.02 137.42 40.365409
