Undetected variants
Location Expected abundance
11190646 18.0
11254597 26.0
27056285 32.0
65312342 32.0
115256530 9.0
120611964 34.0
120612006 32.0
29416326 34.0
29416615 29.0
29543736 32.0
30143058 35.0
48027921 36.0
178095900 35.0
215645464 41.0
215645545 33.0
12475557 22.0
12645007 57.0
37056000 15.0
41266133 8.0
178936091 12.0
178947865 31.0
55152040 18.0
55599321 10.0
55602765 11.0
55604693 28.0
55972974 12.0
106182946 33.0
153332500 35.0
67522722 23.0
79970914 33.0
112162854 21.0
112175770 39.0
112176559 38.0
149457678 29.0
149460553 21.0
149495395 48.0
149499672 39.0
149504348 11.0
149509446 30.0
117686840 39.0
117718110 32.0
6026988 22.0
55249063 19.0
55249071 0.0
55259515 3.0
116339847 9.0
116436022 5.0
140449150 20.0
31012190 19.0
31024654 6.0
38275434 36.0
90993061 19.0
5050706 18.0
5081780 38.0
139391636 25.0
139407932 36.0
139409754 32.0
139418260 43.0
43613843 57.0
69462910 43.0
69625385 34.0
25362777 29.0
25398284 4.0
121437114 21.0
28578214 17.0
28895620 21.0
32912750 41.0
32913558 35.0
32936646 33.0
45645974 18.0
66727451 27.0
66729147 31.0
66782085 33.0
88680684 34.0
89849327 31.0
3658433 32.0
14041958 29.0
89807233 37.0
89825065 28.0
89857935 27.0
89858417 27.0
29632336 29.0
15278222 37.0
15302905 32.0
45868309 45.0
57415471 33.0
57429753 26.0
57484241 22.0
76938088 29.0
