Chromosome Start End Name Initial_Abundance New_Abundance Absolute_Difference Relative_Difference(%)
chr15 43788815 43788845 TP53BP1_Intron2_NM_005657.4 0.84 0.00 0.84 100.0
chr17 56807520 56807547 RAD51C_Intron7_NM_058216.3 0.14 0.00 0.14 100.0
chr7 23545100 23545159 TRA2A_Exon8_NM_001362761.2 447.94 54.00 393.94 87.944814
chr17 4996451 4996508 ZFP3_Exon2_NM_153018.3 231.78 29.68 202.1 87.194754
chr1 235507447 235507505 GGPS1_Exon4_NM_001371477.1 355.92 46.82 309.1 86.845359
chr6 31324842 31324955 HLA-B_Exon1_NM_005514.8 1614.76 235.90 1378.86 85.391018
chr3 52621581 52621612 PBRM1_Intron24_NM_001350077.2 528.00 79.36 448.64 84.969697
chr2 173686446 173686509 RAPGEF4_Exon1_NM_001100397.1 393.58 64.68 328.9 83.566238
chr2 14778318 14778378 LRATD1_Exon2_NM_145175.4 142.86 26.82 116.04 81.226375
chr12 55038389 55038451 DCD_Exon6_NM_001300854.2 314.16 59.00 255.16 81.219761
chr10 89636672 89636701 PTEN_Intron1_NM_001304718.2 295.58 55.66 239.92 81.169227
chr17 45266491 45266558 CDC27_Exon1_NM_001114091.4 15494.80 3113.70 12381.1 79.904871
chr11 105481578 105481636 GRIA4_Exon1_NM_001112812.2 541.24 109.28 431.96 79.809327
chr18 48577023 48577049 SMAD4_Intron4_NM_005359.6 242.00 49.04 192.96 79.735537
chr16 9934666 9934695 GRIN2A_Intron7_NM_001134408.2 347.72 73.00 274.72 79.006097
chr14 69149633 69149681 RAD51B_Exon11_NM_001321818.1 1427.82 321.50 1106.32 77.483156
chr12 70747674 70747738 CNOT2_Exon17_NM_001199302.1 468.94 109.30 359.64 76.692114
chr4 106163076 106163130 TET2_Exon3_NM_017628.4 385.84 94.96 290.88 75.388762
chr10 32316535 32316565 KIF5B_Intron16_NM_004521.3 364.96 97.76 267.2 73.213503
chr6 163991907 163991963 QKI_Exon8_NM_001301085.2 478.74 136.98 341.76 71.387392
chr14 69006896 69006956 RAD51B_Exon11_NM_001321814.1 1545.08 485.14 1059.94 68.600979
chr11 26581363 26581442 MUC15_Exon5_NM_001135091.2 129.54 41.06 88.48 68.303227
chr4 155244369 155244501 DCHS2_Exon8_NM_001142552.2 1416.06 470.68 945.38 66.761295
chr2 42499214 42499241 EML4_Intron5_NM_001145076.3 179.48 60.12 119.36 66.503232
chr7 152351276 152351306 XRCC2_Intron3_NM_005431.2 240.64 83.54 157.1 65.284242
chr17 45214497 45214746 CDC27_Exon14_NM_001114091.4 14522.58 5172.48 9350.1 64.383188
chr6 31324444 31324754 HLA-B_Exon2_NM_005514.8 1480.54 537.62 942.92 63.687573
chrX 44935875 44935893 KDM6A_Intron15_NM_001291421.1 421.84 155.44 266.4 63.151906
chr1 161091795 161091851 DEDD_Exon6_NM_001330765.2 594.10 226.72 367.38 61.838074
chr4 84389456 84389486 ABRAXAS1_Intron7_NM_139076.3 428.80 164.94 263.86 61.534515
chr5 78671708 78671766 HOMER1_Exon9_NM_004272.5 248.96 95.92 153.04 61.471722
chr1 27992781 27992843 IFI6_Exon5_NM_022873.3 196.30 76.10 120.2 61.232807
